Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short-term investments, Quarterly","Cash and short-term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
MNP,Mondi plc,2025-H2,2025-12-31,198877736166.1286,ZAR,55424621465.067505,ZAR,5803214698.853909,ZAR,96929369834.91121,ZAR,56502921493.57076,ZAR,50699706794.71695,ZAR,101948366331.2172,ZAR,1.53391209983722,0.875746066196415,0.609689020520415,0.10270645385149213
PAN,Pan African Resources PLC,2026-H1,2025-12-31,19313472421.1347,ZAR,2667039668.914317,ZAR,1545700120.1966083,ZAR,7841230506.934682,ZAR,2246852424.325373,ZAR,701152304.1287543,ZAR,11472241914.199993,ZAR,0.976403793971694,0.697466203828198,0.195157740278797,0.6879402062468394
APN,Aspen Pharmacare Holdings Limited,2026-H1,2025-12-31,128045000000,ZAR,57330000000,ZAR,5620000000,ZAR,46958000000,ZAR,32943000000,ZAR,27323000000,ZAR,81087000000,ZAR,3.63538363982245,2.65535827520609,0.406267342483999,0.17059769905594513
OMU,Old Mutual Ltd.,2025-H2,2025-12-31,1367923000000,ZAR,150932000000,ZAR,,,1304865000000,ZAR,52211000000,ZAR,12026000000,ZAR,63058000000,ZAR,2.10150234611047,,0.868186504373275,
CLS,Clicks Group Limited,2026-H1,2026-02-28,23003792000,ZAR,14410894000,ZAR,1237801000,ZAR,16905509999.999998,ZAR,4414007000,ZAR,3176206000,ZAR,6098282000,ZAR,1.05273994918525,0.39281953168032,0.724637997598881,0.28042569937020945
GRT,Growthpoint Properties Limited,2026-H1,2025-12-31,154098000000,ZAR,,,1809000000,ZAR,72622000000,ZAR,64501000000,ZAR,62692000000,ZAR,81476000000,ZAR,1.24882471457354,1.20449966420416,0.963679555369629,0.028046076805010776
SHC,Shaftesbury Capital PLC,2025-H2,2025-12-31,132045808000,ZAR,,,8114634666.666667,ZAR,29476736000,ZAR,27244874666.666668,ZAR,19130240000,ZAR,102569072000,ZAR,0.750745156482861,0.750745156482861,0.306863588083557,0.2978407779792319
QLT,Quilter Plc,2025-H2,2025-12-31,1718623040000,ZAR,,,48319573333.333336,ZAR,1685706453333.3333,ZAR,6084853333.333333,ZAR,-42234720000,ZAR,32916586666.666668,ZAR,3.87671232876712,3.87671232876712,0.184856753069577,7.940959409594097
PHP,Primary Health Properties PLC,2025-H2,2025-12-31,135618133333.33333,ZAR,,,449066666.6666667,ZAR,78272320000,ZAR,74275626666.66667,ZAR,73826560000,ZAR,57345813333.333336,ZAR,0.5,0.5,1.29522317932655,0.006045949214026602
EXX,Exxaro Resources Limited,2025-H2,2025-12-31,103210000000,ZAR,32663000000,ZAR,23690000000,ZAR,31960000000,ZAR,12976000000,ZAR,-10714000000,ZAR,71250000000,ZAR,5.09960967993755,4.664012490242,0.231817775792765,1.8256781750924784
MTM,Momentum Group Limited,2026-H1,2025-12-31,882707000000,ZAR,69550000000,ZAR,,,848828000000,ZAR,5101000000,ZAR,-32396000000,ZAR,33879000000,ZAR,5.31687179879214,,0.152418800609556,
WHL,Woolworths Holdings Limited,2026-H1,2025-12-31,42030000000,ZAR,15393000000,ZAR,4560000000,ZAR,31669000000,ZAR,20388000000,ZAR,15828000000,ZAR,10361000000,ZAR,1.1625254890114,0.504569141303527,1.9796096708418303,0.22366097704532079
SNT,Santam Limited,2025-H2,2025-12-31,82392000000,ZAR,17758000000,ZAR,,,65813000000,ZAR,5060000000,ZAR,-1023000000,ZAR,16579000000,ZAR,0.34367440150181,,0.3362796570745,
RDF,Redefine Properties Limited,2026-H1,2026-02-28,104038209000,ZAR,,,764950000,ZAR,47501770000,ZAR,42517915000,ZAR,41752965000,ZAR,56536439000,ZAR,0.402271722258028,0.402271722258028,0.756320764463618,0.01799123969272717
TBS,Tiger Brands Limited,2025-H2,2025-09-30,26955000000,ZAR,15088000000,ZAR,4850000000,ZAR,9716000000,ZAR,357000000,ZAR,-4493000000,ZAR,17239000000,ZAR,1.74913053559008,1.04869000695572,0.0210197833254828,13.585434173669467
DRD,DRDGOLD Ltd.,2026-H1,2025-12-31,14639900000,ZAR,2950800000,ZAR,1734400000,ZAR,3879400000,ZAR,13800000,ZAR,-1720600000,ZAR,10760500000,ZAR,3.01286501939963,2.49336328364305,0.0012824682867896501,125.68115942028986
ARI,African Rainbow Minerals Limited,2026-H1,2025-12-31,83650000000,ZAR,17397000000,ZAR,10565000000,ZAR,17121000000,ZAR,1110000000,ZAR,-9455000000,ZAR,66529000000,ZAR,4.14905795373241,3.9432387312187,0.018025040190968,9.518018018018019
BOX,Boxer Retail Limited,2025-H2,2026-02-28,14292000000,ZAR,5621000000,ZAR,538000000,ZAR,10967000000,ZAR,5471000000,ZAR,4933000000,ZAR,3325000000,ZAR,0.916367786110205,0.220736876426475,1.64541353383459,0.09833668433558765
MRP,Mr Price Group Limited,2025-H1,2025-09-30,32933000000,ZAR,15842000000,ZAR,2973000000,ZAR,18970000000,ZAR,8625000000,ZAR,5652000000,ZAR,13963000000,ZAR,1.28171521035599,0.519902912621359,0.6464548043771551,0.34469565217391307
HMN,Hammerson plc,2025-H2,2025-12-31,88268544000,ZAR,,,7856421333.333333,ZAR,41233301333.333336,ZAR,36877354666.666664,ZAR,29020933333.333332,ZAR,47035242666.66667,ZAR,1.62619926199262,1.62619926199262,0.78403666221119,0.21304188991719436
SRE,Sirius Real Estate Limited,2025-H1,2025-09-30,68684859430.89632,ZAR,,,8669517503.546295,ZAR,33880286690.13554,ZAR,29595516919.02532,ZAR,20925999415.4791,ZAR,34804572740.76078,ZAR,0.872788228720431,0.872788228720431,0.8507331378299131,0.2929334712168228
KST,PSG Financial Services Limited,2025-H2,2026-02-28,158396626000,ZAR,,,2671421000,ZAR,151986472000,ZAR,339184000,ZAR,-2332237000,ZAR,6410154000,ZAR,0.0741013257501681,,0.0600099962403521,7.8760230435397895
