Symbol,Description,Technical rating 1 day,Moving averages rating 1 day,Oscillators rating 1 day,Relative strength index (14) 1 day,Momentum (10) 1 day,Awesome oscillator 1 day,Commodity channel index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick pattern 1 day
HCI,Hosken Consolidated Investments Limited,Sell,Sell,Sell,43.27439065687111,-497,56.982352941115096,-137.29406025716523,14.528823654541588,26.668084804651496,
ISO,"ASP Isotopes, Inc.",Buy,Buy,Neutral,57.053755974065076,1026,1337.4735294117636,123.7216330715894,81.82450285078572,84.7999697308714,
SPP,Spar Group Limited,Sell,Strong sell,Neutral,40.5215304824057,-324,-173.56764705888236,-107.19257540604339,19.91357069143447,17.87120466148488,Long Upper Shadow
ATT,Attacq Limited,Sell,Strong sell,Neutral,43.52038998154332,-15,-38.94705882352946,-52.872409966402486,35.955363411299565,35.01067825101601,
SUI,Sun International Limited,Neutral,Neutral,Sell,50.370338343278355,-21,149.68529411765394,30.6855416518343,59.58005249343831,70.30621172353455,Bearish Engulfing
RLO,Reunert Limited,Strong sell,Strong sell,Sell,32.45810322381898,-684,132.70588235296418,-304.36103663985557,46.144560807412454,51.68316487403126,
WBO,Wilson Bayly Holmes-Ovcon Limited,Neutral,Buy,Sell,51.29667093986071,-364,750.1294117647485,8.933322690506554,58.49398441207862,63.54257861558006,Spinning Top White
AFE,AECI Ltd,Buy,Strong buy,Neutral,51.550597880633525,238,77.98529411766503,52.562083784414554,68.47545219638242,70.91177556293837,Doji
PPC,PPC Limited,Buy,Strong buy,Neutral,59.48804728481944,54,48.94705882352855,64.37768240343375,71.84466019417475,72.92340884573895,
SDO,Stadio Holdings Pty Ltd.,Neutral,Neutral,Neutral,50.34150159076813,-4,-1.0529411764721317,-29.731275014297548,34.074074074074076,33.70370370370372,Long Upper Shadow
ITE,Italtile Limited,Sell,Strong sell,Neutral,35.05957042594916,-76,-39.39705882355304,-167.56594724220835,28.571428571428573,20.463564213564215,
SAC,SA Corporate Real Estate Ltd.,Sell,Strong sell,Neutral,47.657980579674465,11,-3.6352941176477316,-13.605442176873371,57.65432098765433,49.337932703945775,
RBX,Raubex Group Limited,Sell,Sell,Sell,45.57492120980275,-59,92.17352941176523,-87.41905642923302,32.13572854291418,46.04125083166997,
AFH,Alexander Forbes Group Holdings Limited,Buy,Strong buy,Sell,70.43990498665414,61,56.076470588235225,159.2396109637509,97.93359933008225,97.43154944606961,Long Lower Shadow
SAP,Sappi Limited,Strong sell,Strong sell,Sell,39.6188754990309,-150,-139.87941176470758,-98.99255365746684,37.50646613197193,37.0353666369177,
ARL,Astral Foods Limited,Strong sell,Strong sell,Sell,32.71841993442705,-815,-1000.2735294118211,-107.27724680767813,19.60376835688557,17.416759198704522,
CCD,Cell C Holdings Ltd.,Strong sell,Strong sell,Sell,43.3047809866702,-55,9.35588235294108,-62.239076559723436,50.04468275245754,51.980935358951434,"Inverted Hammer, Long Upper Shadow"
SSS,Stor-Age Property REIT Ltd.,Neutral,Neutral,Sell,49.93397796887265,11,2.6441176470586925,-13.920915535060319,44.1451406510942,37.37551997343581,
CLI,Clientele Limited,Strong buy,Strong buy,Neutral,67.23118506467213,52,205.72058823529414,64.8254467073589,89.01623686723973,88.95256287806428,
THA,Tharisa Plc,Buy,Strong buy,Neutral,59.5930173416226,244,135.53529411764703,133.5590502071549,79.46519449484445,79.33864131423542,Bearish Engulfing
BAT,Brait PLC,Strong sell,Strong sell,Sell,41.643631430297546,-9,-1.0088235294116998,-91.7570911859921,21.794871794871796,21.794871794871806,Long Upper Shadow
AEL,Altron Limited Class A,Neutral,Neutral,Neutral,47.16139987443257,-112,31.93235294117676,-111.4308553157474,25.108225108225124,28.60700773071906,
RCL,RCL Foods Limited,Neutral,Sell,Neutral,52.121365743357124,45,21.752941176470586,35.17430473951792,58.163797600417325,60.26584748546147,
BTN,Burstone Group Limited,Buy,Buy,Buy,51.20517441185621,9,9.644117647058806,49.7593383499433,50.326797385620914,50.87145969498911,Long Upper Shadow
OAO,Oando PLC,Strong sell,Strong sell,Neutral,34.80455646337579,-10,-3.5852941176470594,-190.04524886877832,8.289665250534503e-15,3.0303030303030383,Marubozu Black
LSK,"Lesaka Technologies, Inc.",Buy,Strong buy,Neutral,52.73428847830399,-349,-188.53529411764703,32.48925517302647,51.33243370744606,49.382512881838174,Marubozu White
BLU,Blu Label Unlimited Group Ltd,Strong sell,Strong sell,Sell,35.69272766935532,-51,-19.688235294117703,-190.03961516694898,6.831146522208155,7.321405036412593,
PWR,"PowerFleet, Inc.",Neutral,Sell,Neutral,48.75840899541742,-215,24.12352941176505,31.354471646005216,66.35200335640864,61.43626319837773,
