Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY"
SOL,Sasol Limited,2026-H1,2025-12-31,249381000000,ZAR,-4.425358719646799,68292000000,ZAR,43233000000,ZAR,2408000000,ZAR,56667000000,ZAR,3.7082,ZAR,
NED,Nedbank Group,2025-H2,2025-12-31,164453000000,ZAR,0.8901731267101018,,,13915000000,ZAR,7941000000,ZAR,,,16.4007,ZAR,-53.367623726905165
INP,Investec plc,2025-H1,2025-09-30,111335854692.1739,ZAR,-1.490114452398403,,,19167941339.130432,ZAR,14813154132.173912,ZAR,,,17.371739478260867,ZAR,3.4485536963147885
INPPR,Investec PLC Pref. (Rand),2025-H1,2025-09-30,111335854692.1739,ZAR,-1.490114452398403,,,19167941339.130432,ZAR,14813154132.173912,ZAR,,,17.371739478260867,ZAR,3.4485536963147885
OUT,OUTsurance Group Limited,2026-H1,2025-12-31,41758000000,ZAR,13.732432726876567,,,7762000000,ZAR,4995000000,ZAR,,,3.225,ZAR,19.550711743772244
REM,Remgro Limited,2026-H1,2025-12-31,52245000000,ZAR,1.634082287715203,11231000000,ZAR,3224000000,ZAR,4813000000,ZAR,4572000000,ZAR,8.6573,ZAR,-33.33564344237048
RNI,Reinet Investments S.C.A.,2025-H1,2025-09-30,22688817539.5362,ZAR,206.79703289398864,21560221919.1147,ZAR,4841625876.67666,ZAR,2338191140.91003,ZAR,4841625880,ZAR,12.8634,ZAR,-88.8029943638065
KIO,Kumba Iron Ore Limited,2025-H2,2025-12-31,72109000000,ZAR,-2.266166086119733,47167000000,ZAR,27255000000,ZAR,14611000000,ZAR,33420000000,ZAR,45.4335,ZAR,-0.5733606153778827
NRP,NEPI Rockcastle N.V,2025-H2,2025-12-31,18644811795.1292,ZAR,12.653378165153677,12349112246.962801,ZAR,11504768253.7081,ZAR,10058418886.966799,ZAR,11569489840,ZAR,14.1424,ZAR,-18.578181043565365
N91,Ninety One Plc,2025-H1,2025-09-30,17133290086.95652,ZAR,5.193392280349914,14337354086.95652,ZAR,4628723478.260869,ZAR,3693627826.0869565,ZAR,4972371130.434782,ZAR,4.257022956521739,ZAR,6.363617566658481
