Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Basic earnings per share, Trailing 12 months","Basic earnings per share, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
AVI,AVI Limited Class Y,48.7743919632215,ZAR,7.7626,ZAR,7.6535,ZAR,9.08424460082442,ZAR,7.9496044051582,ZAR,11.249944184339054,ZAR,13.036342127764373,ZAR,16.70346,ZAR,,,,
PMR,Premier Group Limited,150.61510095742,ZAR,10.5571,ZAR,10.2611,ZAR,14.3319035453412,ZAR,7.311168613769223,ZAR,14.96309746857262,ZAR,18.209443329565758,ZAR,42.33295,ZAR,,,,
TKG,Telkom SA SOC Ltd.,89.7391952274603,ZAR,16.3608,ZAR,16.1405,ZAR,21.3010371703763,ZAR,8.231089360915204,ZAR,9.788376861611457,ZAR,21.67325705103363,ZAR,68.8832,ZAR,,,,
FFB,Fortress Real Estate Investments Limited Class B,5.18842782163661,ZAR,2.855,ZAR,2.848,ZAR,1.87617832958343,ZAR,,,3.655858336335383,ZAR,3.655858336335383,ZAR,25.76495,ZAR,,,,
RES,Resilient REIT Limited,11.7172409092512,ZAR,13.6995,ZAR,13.6386,ZAR,4.44463315697093,ZAR,,,6.607527208336073,ZAR,6.607527208336073,ZAR,78.01514,ZAR,,,,
ADH,ADvTECH Limited,16.8414754727832,ZAR,2.3444,ZAR,2.33,ZAR,3.69431619760624,ZAR,1.9037451964700767,ZAR,3.678973603342477,ZAR,4.583645161577807,ZAR,12.22004,ZAR,,,,
PIK,Pick N Pay Stores Limited,169.346490117436,ZAR,-0.551,ZAR,-0.551,ZAR,4.9060210258044,ZAR,2.4020933227686974,ZAR,2.704465192518713,ZAR,7.957240451665428,ZAR,13.28947,ZAR,,,,
KRO,Karooooo Ltd.,163.16806450224198,ZAR,29.47275641025641,ZAR,29.47275641025641,ZAR,58.984257445675,ZAR,,,41.579325289024894,ZAR,67.55329292089237,ZAR,106.9584935897436,ZAR,37.288654889501714,ZAR,37.60441656897172,ZAR
HYP,Hyprop Investments Limited,12.2947319882279,ZAR,9.0493,ZAR,9.0191,ZAR,4.57221163871763,ZAR,,,6.364247125000229,ZAR,6.787286400227682,ZAR,64.42621,ZAR,,,,
SRI,Supermarket Income REIT Plc,2.0804507205156986,ZAR,1.104704,ZAR,1.104704,ZAR,0.4152481695640997,ZAR,,,1.443698479911645,ZAR,1.4438244162743221,ZAR,19.8435824,ZAR,,,,
APH,Alphamin Resources Corp.,9.744810932104429,ZAR,2.4960118568994893,ZAR,2.488663441226576,ZAR,3.83126894818717,ZAR,3.612847503522211,ZAR,4.872934627704355,ZAR,5.645986585948517,ZAR,5.97634399318569,ZAR,0.5732755883423306,ZAR,2.434853879593945,ZAR
OPA,Channel VAS Investments Limited,,,,,,,,,,,,,,,1.62842,ZAR,,,,
NTC,Netcare Limited,21.1973812743418,ZAR,1.3529,ZAR,1.329,ZAR,2.98601130842251,ZAR,1.7766405198051465,ZAR,2.2867809589158634,ZAR,3.3754560600464627,ZAR,9.11891,ZAR,,,,
TFG,Foschini Group Limited,197.77481186441,ZAR,9.0578,ZAR,8.9559,ZAR,22.8039101694919,ZAR,16.441510169491778,ZAR,14.731125000000226,ZAR,34.09955974576324,ZAR,78.45197,ZAR,,,,
TRU,Truworths International Limited,58.304312885079,ZAR,7.5169,ZAR,7.4784,ZAR,11.6340744709349,ZAR,10.15537101526922,ZAR,7.840878649879453,ZAR,11.843021698365925,ZAR,29.82657,ZAR,,,,
TGA,Thungela Resources Limited,233.459715551591,ZAR,-55.9585,ZAR,-55.9729,ZAR,21.6904023030128,ZAR,-2.6580602094964743,ZAR,-18.180500839434345,ZAR,12.044088842436548,ZAR,126.29335,ZAR,,,,
BYI,Bytes Technology Group Plc,20.15482480730998,ZAR,4.6222628205128204,ZAR,4.479707051282051,ZAR,,,5.4122195286919546,ZAR,5.732412971464571,ZAR,6.016602927806706,ZAR,7.412684006410256,ZAR,,,,
DTC,Datatec Limited,218.585664129895,ZAR,6.4819,ZAR,6.3471,ZAR,14.5012485506944,ZAR,13.632076075949366,ZAR,16.41649434599156,ZAR,21.148641983122364,ZAR,37.39409,ZAR,,,,
CML,Coronation Fund Managers Limited,11.3596500781449,ZAR,4.5044,ZAR,4.5044,ZAR,0.542411668124243,ZAR,,,5.535181927572633,ZAR,,,6.92737,ZAR,,,,
MTH,Motus Holdings Limited,675.065088757396,ZAR,15.568,ZAR,15.4725,ZAR,43.8934911242604,ZAR,37.532544378698226,ZAR,31.183431952662723,ZAR,46.69230769230769,ZAR,109.63848,ZAR,,,,
GCT,Greencoat Renewables Plc,2.1772006794048386,ZAR,-0.92199035,ZAR,-0.92199035,ZAR,0.5616188915394703,ZAR,,,-0.12618930513364163,ZAR,-0.12618930513364163,ZAR,19.372367939999997,ZAR,,,,
LHC,Life Healthcare Group Holdings Limited,17.336235423801,ZAR,2.7098,ZAR,2.6598,ZAR,2.79200126746445,ZAR,1.6608367668196904,ZAR,1.5199591367027603,ZAR,2.425995659807722,ZAR,7.95022,ZAR,,,,
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,8.32311150176919,ZAR,3.1004,ZAR,3.0984,ZAR,3.05214287104739,ZAR,2.6037683863442043,ZAR,1.7003274839440028,ZAR,2.342621279119043,ZAR,14.46267,ZAR,,,,
GND,Grindrod Limited,8.32311150176919,ZAR,3.1004,ZAR,3.0984,ZAR,3.05214287104739,ZAR,2.6037683863442043,ZAR,1.7003274839440028,ZAR,2.342621279119043,ZAR,14.46267,ZAR,,,,
LTE,Lighthouse Properties Plc,1.43169429045079,ZAR,1.007,ZAR,1.007,ZAR,0.49896799042512,ZAR,,,0.8236534197815879,ZAR,0.8236534197815879,ZAR,8.67796,ZAR,,,,
OMN,Omnia Holdings Limited,142.495066600888,ZAR,7.5383,ZAR,7.29,ZAR,22.3667982239763,ZAR,17.784903798717316,ZAR,10.656142081894426,ZAR,14.189689195855944,ZAR,62.88697,ZAR,,,,
EQU,Equites Property Fund Ltd ZAR,4.71374296898128,ZAR,1.9349,ZAR,1.9108,ZAR,1.14058628887589,ZAR,,,2.0226844654709586,ZAR,2.0309472085443416,ZAR,16.93444,ZAR,,,,
WBC,We Buy Cars Holdings Ltd.,63.1935574748942,ZAR,2.241,ZAR,2.2129,ZAR,1.6100764848125,ZAR,0.11417690895316343,ZAR,2.9856804149135465,ZAR,3.346572093557478,ZAR,7.31057,ZAR,,,,
FTA,Fairvest Limited Class A,1.10697455208609,ZAR,0.7894,ZAR,0.7856,ZAR,0.46840127739066,ZAR,,,0.834255167860586,ZAR,,,5.58275,ZAR,,,,
FTB,Fairvest Limited Class B,1.10697455208609,ZAR,0.7894,ZAR,0.7856,ZAR,0.46840127739066,ZAR,,,0.834255167860586,ZAR,,,5.58275,ZAR,,,,
MSP,MAS P.L.C.,3.47705144754508,ZAR,1.8253,ZAR,1.82,ZAR,4.6621511700587,ZAR,,,2.0040032149253,ZAR,2.0066757909801014,ZAR,35.19733,ZAR,,,,
JSE,JSE Limited,94.2583007085699,ZAR,13.2015,ZAR,12.8979,ZAR,15.1052332800405,ZAR,,,15.227598882490359,ZAR,17.29731565686727,ZAR,62.51728,ZAR,,,,
SSU,Southern Sun Limited,5.04474272930649,ZAR,0.7609,ZAR,0.7609,ZAR,1.14243102162565,ZAR,0.6756152125279642,ZAR,1.1595824011931395,ZAR,1.5078299776286352,ZAR,6.80179,ZAR,,,,
HCI,Hosken Consolidated Investments Limited,293.204765413903,ZAR,76.052,ZAR,74.5856,ZAR,42.1869810857283,ZAR,25.274035863424217,ZAR,50.606448047162864,ZAR,64.1505895357406,ZAR,300.29052,ZAR,,,,
