Symbol,Description,"Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency","Dividend yield %, Trailing 12 months",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth
MDI,Master Drilling Group Ltd.,,,,,3.75722543352601,3.7572254335260116,0,,4,3
IOC,iOCO Limited,0,ZAR,0,ZAR,0,,0,,0,0
AXX,Araxi Limited,0.12,ZAR,,,5.66037735849057,5.660377358490566,62.76150627615063,19.99999999999999,8,7
LBR,Libstar Holdings Ltd.,0.28,ZAR,0.28,ZAR,6.58823529411765,6.588235294117648,273.1707317073171,86.66666666666669,8,1
CLH,City Lodge Hotels Limited,0.15,ZAR,0.08,ZAR,4.06698564593301,4.0669856459330145,44.38642297650131,0,3,0
JBL,Jubilee Metals Group PLC,0,ZAR,0,ZAR,0,,,,0,0
FTH,Frontier Transport Holdings Limited,0.631,ZAR,0.277,ZAR,9.55817378497791,9.55817378497791,53.275324248891806,30.371900826446286,7,1
ART,Argent Industrial Limited,1.27,ZAR,0.67,ZAR,3.56382978723404,3.563829787234043,25.39225346774805,10.434782608695663,4,3
BWN,Balwin Properties Ltd.,0,ZAR,,,0,,0,,0,0
ZED,Zeder Investments Limited,0,ZAR,,,0,0,0,,0,0
QFH,Quantum Foods Holdings Ltd,0.34,ZAR,0.34,ZAR,3.5751840168244,3.5751840168243962,24.66449038810301,,1,0
OAS,Oasis Crescent Property Fund,,,,,4.31295575221239,4.281805309734513,0,,20,0
SCD,Schroder European Real Estate Investment Trust Plc,1.1975770017391305,ZAR,,,8.538,6.549528571428572,353.29655172413794,3.8010694808346366,10,1
NVS,Novus Holdings Ltd.,0.55,ZAR,,,10.0732600732601,10.073260073260073,0,10.000000000000009,2,1
GML,Gemfields Group Limited,0,ZAR,0,ZAR,0,,0,,0,0
UPL,Universal Partners Ltd.,0,ZAR,,,,,0,,0,0
MMP,Marshall Monteagle PLC,0.6750248,ZAR,,,2.14566053555108,2.201799109980928,0,1.319172185231649,27,1
ACL,ArcelorMittal South Africa Limited,0,ZAR,0,ZAR,0,,0,,0,0
EMN,eMedia Holdings Limited Class N,0.29,ZAR,0.14,ZAR,13.8095238095238,13.809523809523808,57.13159968479117,-14.705882352941188,7,0
EMH,eMedia Holdings Limited,0.29,ZAR,0.14,ZAR,12.8888888888889,12.88888888888889,57.13159968479117,-14.705882352941188,7,0
CPR,Copper 360 Limited,0,ZAR,0,ZAR,0,,0,,0,0
EPS,Eastern Platinum Limited,0,ZAR,0,ZAR,0,,0,,0,0
BRN,Brimstone Investment Corporation Limited Class N,0.42,ZAR,0.42,ZAR,8.33333333333333,8.333333333333332,230.76923076923075,4.99999999999999,5,1
TPC,Transpaco Limited,2.35,ZAR,0.7,ZAR,5.47619047619048,5.476190476190475,45.88345602170487,-2.083333333333326,23,0
SSK,Stefanutti Stocks Holdings Limited,0,ZAR,0,ZAR,0,,0,,0,0
DNB,Deneb Investments Limited,0.11,ZAR,,,4.4,0,0,9.999999999999995,5,1
ACT,AfroCentric Investment Corporation Limited,,,,,4.8,9.6,0,,1,0
APF,Accelerate Property Fund Ltd.,0,ZAR,,,0,,0,,0,0
MTA,Metair Investments Limited,0,ZAR,0,ZAR,0,,0,,0,0
SNV,Santova Limited,0,ZAR,0,ZAR,0,,0,,0,0
BCF,Bowler Metcalf Limited,0.69,ZAR,0.29,ZAR,5.48872180451128,5.488721804511278,38.09424411626573,11.650485436893195,22,2
EPE,EPE Capital Partners Ltd. Class A,0,ZAR,,,0,,0,,0,0
YRK,York Timber Holdings Limited,0,ZAR,0,ZAR,0,,0,,0,0
GPL,Grand Parade Investments Limited,0,ZAR,0,ZAR,0,,0,-100,0,0
MST,Mustek Limited,0.1375,ZAR,,,0.948930296756384,0.9489302967563837,0,83.33333333333336,23,1
NTU,Nutun Limited,0,ZAR,,,0,,0,,0,0
TEX,Texton Property Fund Limited,0,ZAR,,,0,0,0,-100,0,0
SZK,SAB Zenzele Kabili Holdings (RF) Limited,0,ZAR,,,0,0,0,,0,0
ENX,enX Group Limited,0,ZAR,,,0,0,,,0,0
ADR,Adcorp Holdings Limited,0.634182,ZAR,0.247768,ZAR,11.5246533127889,11.524637904468413,46.99063893949865,57.365260545905706,4,2
RMH,RMB Holdings Limited,0,ZAR,,,0,,0,,0,0
NWL,Nu-World Holdings Limited,1.485,ZAR,,,4.86885245901639,4.868852459016393,0,9.432571849668395,31,2
FGL,Finbond Group Limited,0.095707,ZAR,,,13.3390265486726,0,75.85858077503775,,1,0
HLM,Hulamin Limited,0,ZAR,0,ZAR,0,,0,,0,0
PBT,PBT Holdings Limited,0.62,ZAR,0.3,ZAR,9.84848484848485,7.196969696969697,91.96378041878891,3.3333333333333366,6,1
AEG,Aveng Limited,0,ZAR,0,ZAR,0,,0,,0,0
SEP,Sephaku Holdings Limited,0,ZAR,0,ZAR,0,,0,,0,0
NRL,Newpark REIT Ltd.,0.78368,ZAR,,,15.4933333333333,15.493333333333334,149.78449144008056,11.368804001819019,9,4
CGR,Calgro M3 Holdings Limited,0.08637,ZAR,,,2.03223529411765,2.032235294117647,0,-9.021962395323118,2,0
4SI,4Sight Holdings Limited,0,ZAR,0,ZAR,0,,0,-100,0,0
ANI,Afine Investments Limited,0.428,ZAR,,,9.33333333333333,9.333333333333334,44.674910251296374,4.390243902439028,4,3
ISA,ISA Holdings Limited,0.167,ZAR,0.094,ZAR,12.196261682243,12.196261682242989,134.19023136246787,-11.640211640211636,5,0
VUN,Vunani Limited,0.35,ZAR,,,17.156862745098,17.156862745098035,0,94.44444444444444,5,1
